DEPORTISTAS;PESO;LONGITUD1;ALTURA;ANCHO;RENDIMIENTO
NINOS;242;23.2;11.52;4.02;ALTO
NINOS;290;24;12.48;4.3056;ALTO
NINOS;340;23.9;12.3778;4.6961;ALTO
NINOS;363;26.3;12.73;4.4555;ALTO
NINOS;430;26.5;12.444;5.134;ALTO
NINOS;450;26.8;13.6024;4.9274;MEDIO
NINOS;500;26.8;14.1795;5.2785;MEDIO
NINOS;390;27.6;12.67;4.69;MEDIO
NINOS;450;27.6;14.0049;4.8438;BAJO
NINOS;500;28.5;14.2266;4.9594;BAJO
NINOS;475;28.4;14.2628;5.1042;BAJO
NINOS;500;28.7;14.3714;4.8146;BAJO
NINOS;500;29.1;13.7592;4.368;BAJO
NINOS;340;29.5;13.9129;5.0728;BAJO
NINOS;600;29.4;14.9544;5.1708;BAJO
NINOS;600;29.4;15.438;5.58;BAJO
NINOS;700;30.4;14.8604;5.2854;BAJO
NINOS;700;30.4;14.938;5.1975;ALTO
NINOS;610;30.9;15.633;5.1338;ALTO
NINOS;650;31;14.4738;5.7276;ALTO
NINOS;575;31.3;15.1285;5.5695;ALTO
NINOS;685;31.4;15.9936;5.3704;ALTO
NINOS;620;31.5;15.5227;5.2801;ALTO
NINOS;680;31.8;15.4686;6.1306;ALTO
NINOS;700;31.9;16.2405;5.589;MEDIO
NINOS;725;31.8;16.36;6.0532;MEDIO
NINOS;720;32;16.3618;6.09;MEDIO
NINOS;714;32.7;16.517;5.8515;BAJO
NINOS;850;32.8;16.8896;6.1984;BAJO
NINOS;1000;33.5;18.957;6.603;BAJO
NINOS;920;35;18.0369;6.3063;ALTO
NINOS;955;35;18.084;6.292;ALTO
NINOS;925;36.2;18.7542;6.7497;ALTO
NINOS;975;37.4;18.6354;6.7473;MEDIO
NINOS;950;38;17.6235;6.3705;MEDIO
ADOLESCENTES;40;12.9;4.1472;2.268;BAJO
ADOLESCENTES;69;16.5;5.2983;2.8217;BAJO
ADOLESCENTES;78;17.5;5.5756;2.9044;ALTO
ADOLESCENTES;87;18.2;5.6166;3.1746;ALTO
ADOLESCENTES;120;18.6;6.216;3.5742;ALTO
ADOLESCENTES;0;19;6.4752;3.3516;ALTO
ADOLESCENTES;110;19.1;6.1677;3.3957;ALTO
ADOLESCENTES;120;19.4;6.1146;3.2943;ALTO
ADOLESCENTES;150;20.4;5.8045;3.7544;ALTO
ADOLESCENTES;145;20.5;6.6339;3.5478;ALTO
ADOLESCENTES;160;20.5;7.0334;3.8203;ALTO
ADOLESCENTES;140;21;6.55;3.325;ALTO
ADOLESCENTES;160;21.1;6.4;3.8;ALTO
ADOLESCENTES;169;22;7.5344;3.8352;ALTO
ADOLESCENTES;161;22;6.9153;3.6312;ALTO
ADOLESCENTES;200;22.1;7.3968;4.1272;ALTO
ADOLESCENTES;180;23.6;7.0866;3.906;ALTO
ADOLESCENTES;290;24;8.8768;4.4968;ALTO
ADOLESCENTES;272;25;8.568;4.7736;MEDIO
ADOLESCENTES;390;29.5;9.485;5.355;MEDIO
TERCERA EDAD;270;23.6;8.3804;4.2476;BAJO
TERCERA EDAD;270;24.1;8.1454;4.2485;BAJO
TERCERA EDAD;306;25.6;8.778;4.6816;BAJO
TERCERA EDAD;540;28.5;10.744;6.562;BAJO
TERCERA EDAD;800;33.7;11.7612;6.5736;BAJO
TERCERA EDAD;1000;37.3;12.354;6.525;BAJO
ADULTOS;55;13.5;6.8475;2.3265;ALTO
ADULTOS;60;14.3;6.5772;2.3142;ALTO
ADULTOS;90;16.3;7.4052;2.673;ALTO
ADULTOS;120;17.5;8.3922;2.9181;ALTO
ADULTOS;150;18.4;8.8928;3.2928;ALTO
ADULTOS;140;19;8.5376;3.2944;ALTO
